data;casos_novos;casos;obitos_novos;obitos;suspeitos;descartados;recuperados;em_tratamento;ocupacao_uti_%;ocupacao_enfermaria_%;obitos_homem;obitos_mulher;fonte;observacoes
24/03/2020;1;1;0;0;;;;;;;[];[];;Dados coletados via plantão da prefeitura no site e Instagram da Prefeitura (as vezes nao tinha um dia em um mas tinha no outro), e por fim, se não tinha em nenhum, verificava no site G1 piracicaba e região, verificando as noticias de cada dia
25/03/2020;1;2;0;0;;;;;;;[];[];;
26/03/2020;1;3;0;0;;;;;;;[];[];;
27/03/2020;2;5;0;0;;;;;;;[];[];;
28/03/2020;0;5;0;0;102;41;;;;;[];[];;
29/03/2020;1;6;0;0;102;41;;;;;[];[];;
30/03/2020;3;9;0;0;110;45;;;;;[];[];;
31/03/2020;1;10;0;0;115;52;;;;;[];[];;
01/04/2020;1;11;0;0;124;52;;;;;[];[];;
02/04/2020;1;12;0;0;130;63;;;;;[];[];;
03/04/2020;3;15;0;0;127;65;;;;;[];[];;
04/04/2020;0;15;0;0;127;65;;;;;[];[];;
05/04/2020;1;16;0;0;127;65;;;;;[];[];;
06/04/2020;1;17;0;0;119;91;;;;;[];[];;
07/04/2020;2;19;0;0;127;94;;;;;[];[];;
08/04/2020;3;22;0;0;127;94;;;;;[];[];;
09/04/2020;2;24;0;0;131;155;;;;;[];[];;
10/04/2020;1;25;1;1;142;106;;;;;[];[];;
11/04/2020;0;25;0;1;142;106;;;;;[];[];;
12/04/2020;0;25;0;1;142;106;;;;;[];[];;
13/04/2020;0;25;0;1;141;115;;;;;[];[];;
14/04/2020;4;29;0;1;153;131;;;;;[];[];;
15/04/2020;0;29;0;1;163;132;;;;;[];[];;
16/04/2020;1;30;1;2;160;150;;;;;[];[];;
17/04/2020;0;30;0;2;157;150;;;;;[];[];;
18/04/2020;4;34;0;2;161;150;;;;;[];[];;
19/04/2020;0;34;0;2;166;173;;;;;[];[];;
20/04/2020;4;38;0;2;152;173;;;;;[];[];;
21/04/2020;2;40;0;2;175;173;;;;;[];[];;
22/04/2020;10;50;0;2;171;201;31;;;;[];[];;
23/04/2020;12;62;1;3;176;223;;;;;[];[];;
24/04/2020;8;70;1;4;180;227;39;;;;[];[];;
25/04/2020;10;80;1;5;181;227;;;;;[];[];;
26/04/2020;3;83;0;5;164;227;;;;;[];[];;
27/04/2020;7;90;4;9;177;257;44;;;;[];[];;
28/04/2020;7;97;1;10;176;287;44;;;;[];[];;
29/04/2020;17;114;0;10;191;289;45;;;;[];[];;
30/04/2020;3;117;0;10;195;289;;;;;[];[];;
01/05/2020;15;132;1;11;195;289;;;;;[];[];;
02/05/2020;3;135;0;11;202;337;61;63;;;[];[];;
03/05/2020;5;140;0;11;176;377;61;68;;;[];[];;
04/05/2020;12;152;2;13;169;386;63;76;;;[];[];;
05/05/2020;11;163;0;13;146;426;65;85;;;[];[];;
06/05/2020;18;181;0;13;147;457;67;101;;;[];[];;
07/05/2020;0;181;1;14;160;486;73;94;;;[];[];;
08/05/2020;14;195;0;14;160;486;;;;;[];[];;
09/05/2020;7;202;0;14;156;526;91;96;;;[];[];;
10/05/2020;12;214;0;14;157;526;;;;;[];[];;
11/05/2020;2;216;1;15;160;564;98;103;;;[];[];http://www.piracicaba.sp.gov.br/plantao+coronavirus+covid+19.aspx;
12/05/2020;5;221;1;16;148;589;117;88;;;[];[];http://www.piracicaba.sp.gov.br/plantao+coronavirus+covid+19.aspx;
13/05/2020;22;243;1;17;136;690;128;98;;;[];[];http://www.piracicaba.sp.gov.br/plantao+coronavirus+covid+19.aspx;
14/05/2020;15;258;0;17;133;710;147;94;;;[];[];http://www.piracicaba.sp.gov.br/plantao+coronavirus+covid+19.aspx;
15/05/2020;6;264;0;17;124;;156;;;;[];[];https://g1.globo.com/sp/piracicaba-regiao/noticia/2020/05/15/casos-de-novo-coronavirus-na-regiao-de-piracicaba-em-15-de-maio.ghtml;
16/05/2020;9;273;0;17;99;;166;;;;[];[];https://g1.globo.com/sp/piracicaba-regiao/noticia/2020/05/16/casos-de-coronavirus-na-regiao-de-piracicaba-em-16-de-maio.ghtml;
17/05/2020;0;273;0;17;99;;;;;;[];[];https://g1.globo.com/sp/piracicaba-regiao/noticia/2020/05/17/casos-de-coronavirus-na-regiao-de-piracicaba-em-17-de-maio.ghtml;
18/05/2020;24;297;0;17;119;815;182;98;;;[];[];http://www.piracicaba.sp.gov.br/plantao+coronavirus+covid+19.aspx;
19/05/2020;27;324;2;19;89;841;183;122;;;[];[];http://www.piracicaba.sp.gov.br/plantao+coronavirus+covid+19.aspx;
20/05/2020;11;335;0;19;132;855;190;126;;;[];[];http://www.piracicaba.sp.gov.br/plantao+coronavirus+covid+19.aspx;
21/05/2020;19;354;1;20;117;870;196;138;;;[];[];http://www.piracicaba.sp.gov.br/plantao+coronavirus+covid+19.aspx;
22/05/2020;38;392;2;22;111;895;207;163;;;[];[];http://www.piracicaba.sp.gov.br/plantao+coronavirus+covid+19.aspx;
23/05/2020;46;438;0;22;81;929;242;174;;;[];[];http://www.piracicaba.sp.gov.br/comunicado+23+de+maio+de+2020+16h.aspx;
24/05/2020;30;468;0;22;82;938;246;200;;;[];[];http://www.piracicaba.sp.gov.br/comunicado+24+de+maio+de+2020+16h.aspx;
25/05/2020;11;479;0;22;82;961;261;196;;;[];[];http://www.piracicaba.sp.gov.br/comunicado+25+de+maio+de+2020+16h.aspx;
26/05/2020;12;491;1;23;76;964;274;195;;;[];[];http://www.piracicaba.sp.gov.br/comunicado+26+de+maio+de+2020+16h.aspx;
27/05/2020;7;498;1;24;100;997;279;195;;;[];[];http://www.piracicaba.sp.gov.br/comunicado+27+de+maio+de+2020+16h.aspx;
28/05/2020;14;512;1;25;105;1009;308;180;;;[];[];http://www.piracicaba.sp.gov.br/comunicado+28+de+maio+de+2020+16h.aspx;
29/05/2020;21;534;1;26;115;1051;317;191;;;[];[];http://www.piracicaba.sp.gov.br/comunicado+29+de+maio+de+2020+16h.aspx;Ontem tinha 512, com mais 21 casos, 533, porém na página diz 534
30/05/2020;15;549;3;29;158;1534;337;196;;;[];[];http://www.piracicaba.sp.gov.br/comunicado+30+de+maio+de+2020.aspx;E agora? Com a soma errada de ontem, diz 549 no site, mas deveria ser 548
31/05/2020;15;564;0;29;181;1534;333;202;;;[];[];http://www.piracicaba.sp.gov.br/comunicado+31+de+maio+de+2020+16h.aspx;E agora, continua contando um a mais no site…
01/06/2020;76;640;0;29;230;1536;363;248;;;[];[];http://www.piracicaba.sp.gov.br/comunicado+01+de+junho+de+2020+16h.aspx;E agora, continua contando um a mais no site…
02/06/2020;25;665;5;34;280;1722;397;234;;;[];[];http://www.piracicaba.sp.gov.br/comunicado+02+de+junho+de+2020+16h.aspx;E agora, continua contando um a mais no site…
03/06/2020;32;697;4;38;283;1759;421;238;;;[];[];http://www.piracicaba.sp.gov.br/comunicado+03+de+junho+de+2020+16h.aspx;E agora, continua contando um a mais no site…
04/06/2020;14;711;1;39;261;1772;473;199;;;[];[];http://www.piracicaba.sp.gov.br/comunicado+04+de+junho+de+2020+16h.aspx;E agora, continua contando um a mais no site…
05/06/2020;67;778;1;40;300;1840;499;240;;;[];[];http://www.piracicaba.sp.gov.br/comunicado+05+de+junho+de+2020+16h.aspx;E agora, continua contando um a mais no site…
06/06/2020;113;891;0;40;281;1863;544;307;;;[];[];http://www.piracicaba.sp.gov.br/comunicado+06+de+junho+de+2020+16h.aspx;E agora, continua contando um a mais no site…
07/06/2020;39;930;0;40;270;1876;558;332;;;[];[];http://www.piracicaba.sp.gov.br/comunicado+07+de+junho+de+2020+16h.aspx;E agora, continua contando um a mais no site…
08/06/2020;114;1044;0;40;331;1880;576;428;;;[];[];http://www.piracicaba.sp.gov.br/comunicado+08+de+junho+de+2020+16h.aspx;E agora, continua contando um a mais no site…
09/06/2020;30;1074;3;43;346;1881;594;437;;;[];[];http://www.piracicaba.sp.gov.br/comunicado+09+de+junho+de+2020+16h.aspx;E agora, continua contando um a mais no site…
10/06/2020;29;1103;0;43;286;2007;622;438;;;[];[];http://www.piracicaba.sp.gov.br/comunicado+10+de+junho+de+2020+16h.aspx;E agora, continua contando um a mais no site…
11/06/2020;86;1189;3;46;304;2043;651;492;;;[];[];http://www.piracicaba.sp.gov.br/comunicado+11+de+junho+de+2020+16h.aspx;E agora, continua contando um a mais no site…
12/06/2020;60;1249;2;48;370;2057;675;528;;;[];[];http://www.piracicaba.sp.gov.br/comunicado+12+de+junho+de+2020+16h+66394.aspx;E agora, continua contando um a mais no site…
13/06/2020;45;1294;0;48;376;2061;698;548;;;[];[];http://www.piracicaba.sp.gov.br/comunicado+13+de+junho+de+2020+16h.aspx;E agora, continua contando um a mais no site…
14/06/2020;19;1313;3;51;377;2070;743;519;;;[];[];http://www.piracicaba.sp.gov.br/comunicado+14+de+junho+de+2020+16h.aspx;E agora, no site está 1315, no dia anterior tinha 1294, somou 19 e deu 1315, era pra dar 1313!!
15/06/2020;64;1377;2;53;373;2078;783;541;;;[];[];http://www.piracicaba.sp.gov.br/comunicado+15+de+junho+de+2020+16h.aspx;De ontem foi corrigido, voltamos para 1 de diferença, 1376 aqui, 1377 lá
16/06/2020;64;1441;5;58;658;2115;901;482;;;[];[];http://www.piracicaba.sp.gov.br/comunicado+16+de+junho+de+2020+16h.aspx;E agora, continua contando um a mais no site…
17/06/2020;44;1485;5;63;714;2148;916;506;;;[];[];http://www.piracicaba.sp.gov.br/comunicado+17+de+junho+de+2020+16h.aspx;E agora, continua contando um a mais no site…
18/06/2020;48;1533;3;66;800;2792;946;521;;;[];[];http://www.piracicaba.sp.gov.br/comunicado+17+de+junho+de+2020+16h.aspx;E agora, continua contando um a mais no site…
19/06/2020;72;1605;1;67;826;2944;1056;482;;;[];[];http://www.piracicaba.sp.gov.br/comunicado+19+de+junho+de+2020+16h.aspx;E agora, continua contando um a mais no site…
20/06/2020;72;1677;3;70;780;3077;1132;475;;;[];[];http://www.piracicaba.sp.gov.br/comunicado+20+de+junho+de+2020+16h.aspx;E agora, continua contando um a mais no site…
21/06/2020;99;1776;3;73;733;3117;1160;543;;;[];[];http://www.piracicaba.sp.gov.br/comunicado+21+de+junho+de+2020+16h.aspx;E agora, continua contando um a mais no site…
